iter	Passed	Remaining
0	6	199
1	12	179
2	18	164
3	24	160
4	31	155
5	36	147
6	43	143
7	49	136
8	55	129
9	63	127
10	71	123
11	80	121
12	91	119
13	99	113
14	109	109
15	116	102
16	126	96
17	133	88
18	143	83
19	151	75
20	159	68
21	166	60
22	173	52
23	182	45
24	189	37
25	196	30
26	203	22
27	211	15
28	225	7
29	232	0
