fold,acc,prec,rec,f1,auc
1,0.9993603259968253,0.9994103041589075,0.9997516222173927,0.9995809340514364,0.9999300568164177
2,0.9991471013291005,0.9991621931920439,0.9997205749945668,0.999441306102179,0.9999902822192556
3,0.9993840176265726,0.9993173426009246,0.9998758111086963,0.9995964988515736,0.9999468114502158
4,0.9992655420773313,0.999255236617533,0.9997826626924987,0.9995188800769792,0.99994565325385
5,0.9992892342683851,0.9993172366705977,0.9997516145057128,0.9995343783951576,0.9999940868728265
