iter	Passed	Remaining
401	7634	11356
402	7651	11335
403	7667	11312
404	7684	11289
405	7701	11267
406	7717	11243
407	7734	11222
408	7751	11200
409	7768	11178
410	7783	11154
411	7798	11130
412	7814	11106
413	7830	11083
414	7845	11059
415	7861	11035
416	7877	11013
417	7893	10990
418	7910	10969
419	7926	10946
420	7942	10923
421	7957	10899
422	7974	10877
423	7989	10853
424	8005	10830
425	8020	10807
426	8036	10784
427	8054	10764
428	8070	10741
429	8085	10718
430	8101	10695
431	8117	10672
432	8132	10649
433	8148	10626
434	8164	10604
435	8181	10583
436	8196	10560
437	8212	10538
438	8228	10515
439	8245	10494
440	8262	10472
441	8278	10451
442	8296	10431
443	8320	10419
444	8354	10419
445	8368	10394
446	8381	10369
447	8395	10344
448	8408	10319
449	8423	10295
450	8436	10269
451	8450	10244
452	8463	10220
453	8480	10198
454	8496	10176
455	8509	10152
456	8525	10129
457	8540	10106
458	8554	10082
459	8568	10058
460	8582	10034
461	8596	10010
462	8615	9992
463	8630	9970
464	8647	9948
465	8664	9928
466	8678	9905
467	8696	9886
468	8714	9866
469	8734	9850
470	8760	9839
471	8781	9823
472	8797	9801
473	8819	9787
474	8840	9770
475	8857	9750
476	8878	9734
477	8901	9720
478	8923	9706
479	8943	9689
480	8959	9667
481	8977	9647
482	8999	9633
483	9017	9613
484	9032	9591
485	9049	9570
486	9066	9550
487	9081	9527
488	9096	9505
489	9111	9483
490	9126	9461
491	9154	9452
492	9175	9436
493	9195	9418
494	9212	9398
495	9228	9377
496	9244	9356
497	9260	9335
498	9276	9313
499	9292	9292
500	9308	9271
501	9325	9250
502	9343	9232
503	9360	9211
504	9378	9192
505	9395	9172
506	9412	9152
507	9437	9140
508	9453	9119
509	9472	9100
510	9487	9079
511	9503	9058
512	9520	9038
513	9536	9017
514	9552	8995
515	9568	8975
516	9584	8954
517	9601	8934
518	9617	8913
519	9633	8892
520	9649	8871
521	9670	8855
522	9686	8834
523	9717	8827
524	9763	8833
525	9786	8818
526	9803	8798
527	9820	8778
528	9838	8759
529	9854	8738
530	9870	8718
531	9886	8697
532	9903	8676
533	9919	8656
534	9935	8635
535	9951	8614
536	9968	8594
537	9983	8573
538	10000	8553
539	10018	8533
540	10037	8516
541	10056	8497
542	10080	8484
543	10096	8463
544	10113	8443
545	10128	8422
546	10145	8402
547	10160	8380
548	10177	8360
549	10193	8340
550	10207	8318
551	10224	8298
552	10241	8278
553	10257	8257
554	10272	8236
555	10287	8214
556	10303	8194
557	10324	8178
558	10344	8161
559	10362	8141
560	10381	8124
561	10398	8104
562	10414	8083
563	10431	8064
564	10448	8044
565	10469	8027
566	10493	8013
567	10515	7997
568	10533	7978
569	10557	7964
570	10574	7944
571	10593	7926
572	10612	7908
573	10630	7889
574	10645	7868
575	10659	7846
576	10674	7825
577	10687	7802
578	10701	7781
579	10715	7759
580	10732	7739
581	10747	7719
582	10762	7698
583	10777	7676
584	10792	7656
585	10808	7635
586	10823	7615
587	10838	7594
588	10853	7573
589	10871	7554
590	10884	7532
591	10898	7511
592	10913	7490
593	10927	7468
594	10941	7447
595	10955	7426
596	10968	7404
597	10983	7383
598	10997	7362
599	11047	7364
600	11082	7357
601	11111	7345
602	11124	7324
603	11140	7303
604	11161	7287
605	11182	7270
606	11206	7255
607	11232	7241
608	11255	7226
609	11274	7208
610	11295	7191
611	11315	7174
612	11334	7155
613	11350	7135
614	11367	7116
615	11384	7096
616	11399	7076
617	11415	7056
618	11432	7037
619	11448	7016
620	11461	6995
621	11475	6974
622	11491	6954
623	11507	6933
624	11522	6913
625	11537	6893
626	11552	6872
627	11568	6852
628	11583	6832
629	11599	6812
630	11613	6791
631	11627	6770
632	11642	6750
633	11657	6729
634	11672	6709
635	11688	6689
636	11706	6670
637	11721	6650
638	11735	6630
639	11749	6609
640	11765	6589
641	11781	6569
642	11796	6549
643	11812	6529
644	11827	6509
645	11841	6489
646	11856	6468
647	11871	6448
648	11884	6427
649	11898	6406
650	11912	6386
651	11927	6366
652	11941	6345
653	11955	6325
654	11970	6304
655	11983	6284
656	12001	6265
657	12016	6245
658	12040	6230
659	12059	6212
660	12078	6194
661	12139	6197
662	12167	6184
663	12185	6166
664	12200	6145
665	12215	6125
666	12231	6106
667	12247	6087
668	12262	6067
669	12278	6047
670	12294	6028
671	12309	6008
672	12324	5988
673	12339	5968
674	12356	5949
675	12374	5931
676	12391	5912
677	12408	5893
678	12422	5872
679	12441	5854
680	12457	5835
681	12473	5816
682	12489	5796
683	12505	5777
684	12521	5757
685	12536	5738
686	12553	5719
687	12571	5700
688	12588	5682
689	12604	5662
690	12620	5643
691	12635	5623
692	12651	5604
693	12666	5584
694	12682	5565
695	12697	5546
696	12714	5527
697	12730	5507
698	12745	5488
699	12761	5469
700	12776	5449
701	12792	5430
702	12806	5410
703	12821	5390
704	12836	5371
705	12852	5352
706	12868	5332
707	12882	5313
708	12897	5293
709	12916	5275
710	12932	5256
711	12948	5237
712	12967	5219
713	12983	5200
714	13000	5182
715	13015	5162
716	13032	5143
717	13047	5124
718	13065	5106
719	13082	5087
720	13100	5069
721	13116	5050
722	13135	5032
723	13153	5014
724	13172	4996
725	13190	4978
726	13205	4958
727	13222	4940
728	13240	4922
729	13258	4904
730	13284	4888
731	13306	4871
732	13326	4854
733	13344	4836
734	13364	4818
735	13381	4799
736	13399	4781
737	13420	4764
738	13437	4745
739	13458	4728
740	13476	4710
741	13493	4691
742	13512	4673
743	13530	4655
744	13547	4637
745	13566	4619
746	13589	4602
747	13610	4585
748	13633	4568
749	13651	4550
750	13669	4532
751	13687	4513
752	13706	4495
753	13726	4478
754	13742	4459
755	13758	4440
756	13774	4421
757	13791	4403
758	13807	4384
759	13824	4365
760	13841	4347
761	13855	4327
762	13870	4308
763	13887	4289
764	13903	4271
765	13920	4252
766	13937	4233
767	13953	4215
768	13970	4196
769	13988	4178
770	14001	4158
771	14015	4139
772	14032	4120
773	14048	4101
774	14064	4083
775	14080	4064
776	14097	4045
777	14114	4027
778	14129	4008
779	14144	3989
780	14161	3970
781	14176	3952
782	14192	3933
783	14209	3914
784	14226	3896
785	14242	3877
786	14264	3860
787	14279	3841
788	14293	3822
789	14307	3803
790	14321	3784
791	14335	3764
792	14349	3745
793	14363	3726
794	14377	3707
795	14391	3688
796	14406	3669
797	14421	3650
798	14435	3631
799	14452	3613
800	14469	3594
801	14485	3576
802	14503	3558
803	14520	3539
804	14536	3521
805	14553	3502
806	14567	3483
807	14587	3466
808	14603	3447
809	14617	3428
810	14632	3410
811	14645	3390
812	14660	3372
813	14675	3353
814	14691	3334
815	14708	3316
816	14723	3297
817	14738	3279
818	14753	3260
819	14767	3241
820	14783	3223
821	14801	3205
822	14816	3186
823	14834	3168
824	14849	3149
825	14863	3131
826	14878	3112
827	14892	3093
828	14906	3074
829	14926	3057
830	14943	3039
831	14963	3021
832	14981	3003
833	14999	2985
834	15015	2967
835	15032	2948
836	15048	2930
837	15065	2912
838	15083	2894
839	15105	2877
840	15123	2859
841	15141	2841
842	15159	2823
843	15179	2805
844	15197	2787
845	15217	2770
846	15237	2752
847	15256	2734
848	15274	2716
849	15291	2698
850	15307	2680
851	15323	2661
852	15337	2643
853	15351	2624
854	15365	2605
855	15380	2587
856	15394	2568
857	15408	2550
858	15422	2531
859	15436	2512
860	15450	2494
861	15463	2475
862	15477	2457
863	15492	2438
864	15506	2420
865	15522	2401
866	15535	2383
867	15549	2364
868	15562	2346
869	15576	2327
870	15590	2309
871	15604	2290
872	15617	2271
873	15631	2253
874	15645	2235
875	15660	2216
876	15673	2198
877	15687	2179
878	15701	2161
879	15715	2142
880	15728	2124
881	15742	2106
882	15756	2087
883	15769	2069
884	15783	2050
885	15798	2032
886	15811	2014
887	15825	1996
888	15838	1977
889	15853	1959
890	15867	1941
891	15880	1922
892	15894	1904
893	15907	1886
894	15922	1867
895	15938	1849
896	15952	1831
897	15966	1813
898	15979	1795
899	15993	1777
900	16007	1758
901	16021	1740
902	16035	1722
903	16048	1704
904	16062	1686
905	16079	1668
906	16095	1650
907	16109	1632
908	16122	1614
909	16136	1595
910	16150	1577
911	16163	1559
912	16177	1541
913	16191	1523
914	16204	1505
915	16219	1487
916	16234	1469
917	16248	1451
918	16262	1433
919	16276	1415
920	16290	1397
921	16304	1379
922	16318	1361
923	16332	1343
924	16348	1325
925	16362	1307
926	16376	1289
927	16390	1271
928	16403	1253
929	16418	1235
930	16431	1217
931	16446	1199
932	16460	1182
933	16475	1164
934	16488	1146
935	16504	1128
936	16518	1110
937	16532	1092
938	16546	1074
939	16559	1057
940	16574	1039
941	16588	1021
942	16601	1003
943	16615	985
944	16628	967
945	16644	950
946	16657	932
947	16671	914
948	16684	896
949	16697	878
950	16712	861
951	16725	843
952	16739	825
953	16752	807
954	16766	790
955	16781	772
956	16795	754
957	16808	736
958	16822	719
959	16836	701
960	16850	683
961	16863	666
962	16877	648
963	16891	630
964	16904	613
965	16920	595
966	16935	577
967	16948	560
968	16962	542
969	16975	525
970	16989	507
971	17002	489
972	17016	472
973	17030	454
974	17044	437
975	17060	419
976	17074	401
977	17088	384
978	17102	366
979	17115	349
980	17129	331
981	17143	314
982	17157	296
983	17171	279
984	17185	261
985	17200	244
986	17214	226
987	17229	209
988	17244	191
989	17260	174
990	17275	156
991	17291	139
992	17307	122
993	17323	104
994	17341	87
995	17354	69
996	17368	52
997	17382	34
998	17397	17
999	17410	0
